1,-9.568403471746365,-6810.0,"(1, 1)","[1000.           95.01         52.4         119.47          0.
    0.            0.           -2.64352929   -3.58746902   -4.44491733
   40.69649775   26.35423321   39.57962029  -88.21362494 -102.0155634
  -84.00251631   32.77767238   58.52463464   27.35226833]",[-0.46010917 -0.46010917 -0.46010917]
0,1,2,3,4,5
1,-0.9968648898982337,-6810.0,"(0, 0)","[1000.           94.99         52.63        118.88          0.
    0.            0.           -2.54855859   -3.52798563   -4.38854475
   40.68009837   27.03544816   39.22710681  -79.06877892  -95.88867631
  -85.00884588   31.11425392   59.48122308   27.35226833]",[-0.6560214 -0.6560214 -0.6560214]
1,-9.568403471746365,-6820.0,"(1, 1)","[1000.           94.99         52.63        118.88          0.
    0.            0.           -2.54855859   -3.52798563   -4.38854475
   40.68009837   27.03544816   39.22710681  -79.06877892  -95.88867631
  -85.00884588   31.11425392   59.48122308   27.35226833]",[-0.6560214 -0.6560214 -0.6560214]
0,1,2,3,4,5
1,-0.9968648898982337,-6820.0,"(0, 0)","[1000.           94.27         52.29        116.36          0.
    0.            0.           -2.50254383   -3.46829938   -4.49539193
   40.07863507   26.65835893   37.74185813  -77.89318709  -87.42864952
  -93.44805745   28.18174754   54.59652066   30.25817171]",[-1. -1. -1.]
1,-9.568403471746365,-6830.0,"(1, 1)","[1000.           94.27         52.29        116.36          0.
    0.            0.           -2.50254383   -3.46829938   -4.49539193
   40.07863507   26.65835893   37.74185813  -77.89318709  -87.42864952
  -93.44805745   28.18174754   54.59652066   30.25817171]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6830.0,"(0, 0)","[1000.           93.7          51.11        108.44          0.
    0.            0.           -2.48344346   -3.47614293   -5.15966944
   39.59914615   25.38705544   33.60505034 -103.5340749  -100.6875016
 -173.2621321    33.9938129    60.8749803    54.25501673]",[-1. -1. -1.]
1,-9.568403471746365,-6840.0,"(1, 1)","[1000.           93.7          51.11        108.44          0.
    0.            0.           -2.48344346   -3.47614293   -5.15966944
   39.59914615   25.38705544   33.60505034 -103.5340749  -100.6875016
 -173.2621321    33.9938129    60.8749803    54.25501673]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6840.0,"(0, 0)","[1000.           93.99         52.66        108.63          0.
    0.            0.           -2.41704352   -3.31902726   -5.60615844
   39.97709157   29.92787323   33.78516499  -99.03392306  -79.57407722
 -169.6130697    33.9938129    48.43095346   54.25501673]",[-0.9415394 -0.9415394 -0.9415394]
1,-9.568403471746365,-6850.0,"(1, 1)","[1000.           93.99         52.66        108.63          0.
    0.            0.           -2.41704352   -3.31902726   -5.60615844
   39.97709157   29.92787323   33.78516499  -99.03392306  -79.57407722
 -169.6130697    33.9938129    48.43095346   54.25501673]",[-0.9415394 -0.9415394 -0.9415394]
0,1,2,3,4,5
1,-0.9968648898982337,-6850.0,"(0, 0)","[1000.           96.64         53.18        112.6           0.
    0.            0.           -2.12608011   -3.1166258    -5.57538875
   43.32918855   31.3772553    37.45276747  -35.65097508  -65.97853763
 -130.3682925    17.13589402   40.77301365   42.69373173]",[-0.6128216 -0.6128216 -0.6128216]
1,-9.568403471746365,-6860.0,"(1, 1)","[1000.           96.64         53.18        112.6           0.
    0.            0.           -2.12608011   -3.1166258    -5.57538875
   43.32918855   31.3772553    37.45276747  -35.65097508  -65.97853763
 -130.3682925    17.13589402   40.77301365   42.69373173]",[-0.6128216 -0.6128216 -0.6128216]
0,1,2,3,4,5
1,-0.9968648898982337,-6860.0,"(0, 0)","[1000.           98.12         53.61        116.34          0.
    0.            0.           -1.75582582   -2.88823005   -5.18939668
   45.1005478    32.57035524   40.65613758   17.42043647  -56.04757457
  -81.94962425    8.6773973    35.58840707   28.35962887]",[-1. -1. -1.]
1,-9.568403471746365,-6870.0,"(1, 1)","[1000.           98.12         53.61        116.34          0.
    0.            0.           -1.75582582   -2.88823005   -5.18939668
   45.1005478    32.57035524   40.65613758   17.42043647  -56.04757457
  -81.94962425    8.6773973    35.58840707   28.35962887]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6870.0,"(0, 0)","[1000.           96.26         54.15        117.57          0.
    0.            0.           -1.5941072    -2.63329628   -4.72972316
   43.33936573   34.05974352   41.67245526   12.35196443  -48.31703355
  -58.10862044    4.63880816   32.13696822   23.78728403]",[-1. -1. -1.]
1,-9.568403471746365,-6880.0,"(1, 1)","[1000.           96.26         54.15        117.57          0.
    0.            0.           -1.5941072    -2.63329628   -4.72972316
   43.33936573   34.05974352   41.67245526   12.35196443  -48.31703355
  -58.10862044    4.63880816   32.13696822   23.78728403]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6880.0,"(0, 0)","[1000.           96.04         54.71        115.16          0.
    0.            0.           -1.46678797   -2.35888041   -4.50793081
   43.13327056   35.58609384   40.2744199   -17.73056954  -36.58900245
  -75.33143325    6.23281108   25.36484044   28.20069973]",[-1. -1. -1.]
