0,1,2,3,4,5
1,-27.637545193496408,11678.760157268662,"(0, 0)","[1238.84441976   62.18999863   54.18000031 1511.40002441  143.36999512
   20.99466705  147.18925476    0.            0.            0.
    0.           -8.70354602   -8.06823561   -7.41751614   -9.00102559
   -8.48616201   40.82541097   43.20512003   44.2044737    40.68593823
   43.47245166 -155.17133752  -96.07101898  -69.64275467 -150.6737335
 -102.05281302   34.16896536   33.18402756   25.77817041   39.74211297
   33.18402756]",[ 1.        -0.5287839 -0.5287839 -0.5287839 -0.5287839]
0,1,2,3,4,5
1,-9.225622259418742,11678.760157268662,"(0, 0)","[ 7.92736842e+02  6.39550018e+01  5.62000008e+01  1.50800000e+03
  1.43720001e+02  2.08873329e+01  1.54355390e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.55353308e+00
 -3.34497853e+00 -2.45005176e+00 -5.21641236e+00 -4.21865173e+00
  4.53636126e+01  4.75776248e+01  4.83193085e+01  4.77997967e+01
  4.73917803e+01 -4.42512139e+01  1.88745563e+01  9.72966691e-01
  3.65075782e-01  5.58768016e+00  2.02154881e+01  4.28591386e-01
  1.33909472e+01  7.67987127e+00  4.99355814e+00]",[ 0.7166135 -1.        -1.        -1.        -1.       ]
1,-27.637545193496408,11763.930290952943,"(0, 0)","[ 7.92736842e+02  6.39550018e+01  5.62000008e+01  1.50800000e+03
  1.43720001e+02  2.08873329e+01  1.54355390e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.55353308e+00
 -3.34497853e+00 -2.45005176e+00 -5.21641236e+00 -4.21865173e+00
  4.53636126e+01  4.75776248e+01  4.83193085e+01  4.77997967e+01
  4.73917803e+01 -4.42512139e+01  1.88745563e+01  9.72966691e-01
  3.65075782e-01  5.58768016e+00  2.02154881e+01  4.28591386e-01
  1.33909472e+01  7.67987127e+00  4.99355814e+00]",[ 0.7166135 -1.        -1.        -1.        -1.       ]
0,1,2,3,4,5
1,-9.225622259418742,11763.930290952943,"(0, 0)","[ 1.96070416e+02  6.43750000e+01  5.65400009e+01  1.50800000e+03
  1.44550003e+02  2.11646671e+01  1.63675542e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.08473799e+00
 -1.16371982e+00 -1.41987122e+00 -1.87607546e+00 -1.39206835e+00
  4.68710494e+01  4.71413274e+01  4.53159198e+01  4.64697628e+01
  4.78340066e+01  7.46601528e+00  1.54117169e+01 -1.05931858e+01
  4.84201512e+00  1.08055257e+01  1.33909472e+01  1.73310797e+01
  2.54007059e+01  1.52694375e+01  1.73310797e+01]",[ 0.9320152 -1.        -1.        -1.        -1.       ]
1,-27.637545193496408,12037.813568882899,"(0, 0)","[ 1.96070416e+02  6.43750000e+01  5.65400009e+01  1.50800000e+03
  1.44550003e+02  2.11646671e+01  1.63675542e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.08473799e+00
 -1.16371982e+00 -1.41987122e+00 -1.87607546e+00 -1.39206835e+00
  4.68710494e+01  4.71413274e+01  4.53159198e+01  4.64697628e+01
  4.78340066e+01  7.46601528e+00  1.54117169e+01 -1.05931858e+01
  4.84201512e+00  1.08055257e+01  1.33909472e+01  1.73310797e+01
  2.54007059e+01  1.52694375e+01  1.73310797e+01]",[ 0.9320152 -1.        -1.        -1.        -1.       ]
0,1,2,3,4,5
1,-9.225622259418742,12037.813568882899,"(0, 0)","[   2.75229068   64.28250122   57.22999954 1480.80004883  144.46000671
   21.14800072  166.67554188    0.            0.            0.
    0.           -2.54568955   -5.59783375   -6.25633891   -4.25468553
   -5.36726344   41.80026284   42.62565529   40.79851251   38.9572105
   39.83697333 -109.22028685 -107.08370983 -146.52251325 -189.25484604
 -175.06019698   40.48872013   29.20907117   32.79161172   50.2641846
   50.28006138]",[ 0.9697937 -1.        -1.        -1.        -1.       ]
1,-27.637545193496408,11815.70307035825,"(0, 0)","[   2.75229068   64.28250122   57.22999954 1480.80004883  144.46000671
   21.14800072  166.67554188    0.            0.            0.
    0.           -2.54568955   -5.59783375   -6.25633891   -4.25468553
   -5.36726344   41.80026284   42.62565529   40.79851251   38.9572105
   39.83697333 -109.22028685 -107.08370983 -146.52251325 -189.25484604
 -175.06019698   40.48872013   29.20907117   32.79161172   50.2641846
   50.28006138]",[ 0.9697937 -1.        -1.        -1.        -1.       ]
0,1,2,3,4,5
1,-9.225622259418742,11815.70307035825,"(0, 0)","[   2.75229068   64.30999756   56.34999847 1490.19995117  144.05999756
   21.77199936  166.67554188    0.            0.            0.
    0.           -6.48717586   -5.0184262    -3.65115292   -6.1082902
   -5.79049333   41.81683717   46.0056817    49.05566252   44.07806141
   43.90127096 -119.44123718  -23.64551667   50.14410724  -70.03579431
  -58.27932459   26.58802768    9.92246208    4.25475012   18.42735939
   13.95576964]",[ 0.9845231 -1.        -1.        -1.        -1.       ]
1,-27.637545193496408,12122.9862508164,"(0, 0)","[   2.75229068   64.30999756   56.34999847 1490.19995117  144.05999756
   21.77199936  166.67554188    0.            0.            0.
    0.           -6.48717586   -5.0184262    -3.65115292   -6.1082902
   -5.79049333   41.81683717   46.0056817    49.05566252   44.07806141
   43.90127096 -119.44123718  -23.64551667   50.14410724  -70.03579431
  -58.27932459   26.58802768    9.92246208    4.25475012   18.42735939
   13.95576964]",[ 0.9845231 -1.        -1.        -1.        -1.       ]
0,1,2,3,4,5
